iter	RMSE
0	4.595841168
1	3.532787408
2	3.340889891
3	3.198721044
4	3.071598433
5	2.992697413
6	2.956711559
7	2.921911404
8	2.870065063
9	2.832847487
10	2.80785335
11	2.770531469
12	2.748487651
13	2.722343687
14	2.705295226
15	2.691307711
16	2.678332698
17	2.667897401
18	2.652582289
19	2.638672406
20	2.627027913
21	2.615976399
22	2.604280186
23	2.589236834
24	2.570425078
25	2.561080134
26	2.549352914
27	2.539698446
28	2.531980572
29	2.522128002
30	2.514560594
31	2.508323548
32	2.49695666
33	2.485990961
34	2.4744317
35	2.465973003
36	2.456541335
37	2.449816932
38	2.440755778
39	2.432704963
40	2.424543431
41	2.416777672
42	2.409314643
43	2.401221814
44	2.395738231
45	2.388565126
46	2.383972028
47	2.378492653
48	2.371454345
49	2.366351021
50	2.357701882
51	2.352057084
52	2.347726377
53	2.340290516
54	2.335350428
55	2.331190914
56	2.326828071
57	2.321603301
58	2.317914293
59	2.314176792
60	2.309684251
61	2.306372913
62	2.302902742
63	2.298422466
64	2.293460793
65	2.288476215
66	2.283506241
67	2.279381681
68	2.275502899
69	2.270044882
70	2.265605064
71	2.262429995
72	2.259848252
73	2.256316999
74	2.252865833
75	2.249591182
76	2.246001225
77	2.243606615
78	2.241315315
79	2.238839598
80	2.23309685
81	2.229854793
82	2.22654721
83	2.221442605
84	2.218045572
85	2.214520981
86	2.211100943
87	2.207741035
88	2.205528144
89	2.201856736
90	2.19846971
91	2.195745221
92	2.189166017
93	2.185287956
94	2.183564983
95	2.180451732
96	2.177779526
97	2.175083127
98	2.173440446
99	2.171150995
100	2.168392726
101	2.166695746
102	2.164138399
103	2.161704392
104	2.159871954
105	2.156717952
106	2.154530912
107	2.150837295
108	2.147004511
109	2.144601868
110	2.143198185
111	2.14111801
112	2.138363495
113	2.134396205
114	2.129319571
115	2.127114071
116	2.125167212
117	2.121408739
118	2.119243951
119	2.117090734
120	2.114548818
121	2.110654613
122	2.107392237
123	2.104229033
124	2.101729774
125	2.099668693
126	2.098762006
127	2.096701426
128	2.094708281
129	2.092554404
130	2.090539344
131	2.088584247
132	2.086869678
133	2.08398064
134	2.082586495
135	2.08093429
136	2.078229642
137	2.076717838
138	2.074377054
139	2.073186231
140	2.070997269
141	2.06924306
142	2.067799969
143	2.065662771
144	2.064137806
145	2.062833173
146	2.060216012
147	2.058601274
148	2.056870661
149	2.054560785
150	2.053420011
151	2.051644285
152	2.049706737
153	2.048157518
154	2.04663253
155	2.045019025
156	2.0436889
157	2.041688542
158	2.040112342
159	2.038426724
160	2.035521281
161	2.034508047
162	2.032324408
163	2.030904237
164	2.02869232
165	2.026826906
166	2.024490416
167	2.022736801
168	2.021364982
169	2.020400065
170	2.018501018
171	2.017300586
172	2.015243039
173	2.013345241
174	2.010497405
175	2.007341941
176	2.005274018
177	2.003851228
178	2.002393118
179	2.001335467
180	1.999760259
181	1.99887442
182	1.997761435
183	1.996626719
184	1.995176342
185	1.993486592
186	1.992113167
187	1.990113266
188	1.988736374
189	1.987316267
190	1.985748822
191	1.984401363
192	1.98347888
193	1.982462246
194	1.980672165
195	1.978855238
196	1.976313059
197	1.975405156
198	1.974250919
199	1.973535839
200	1.972406949
201	1.971400046
202	1.969536246
203	1.968062833
204	1.966766948
205	1.965735056
206	1.962973516
207	1.962042916
208	1.960809432
209	1.958789775
210	1.95787109
211	1.955786267
212	1.953615739
213	1.952189144
214	1.950805393
215	1.948623453
216	1.947615442
217	1.946083872
218	1.944794901
219	1.944293134
220	1.943015679
221	1.94190114
222	1.940805414
223	1.938918415
224	1.937544854
225	1.935905619
226	1.933597554
227	1.932599014
228	1.9315781
229	1.929259604
230	1.928189852
231	1.92700848
232	1.924013045
233	1.922788631
234	1.921890579
235	1.920459494
236	1.919124893
237	1.917536814
238	1.915703894
239	1.913323598
240	1.912251422
241	1.911061536
242	1.908806209
243	1.907426634
244	1.906742715
245	1.905895303
246	1.904002097
247	1.902680059
248	1.901681436
249	1.899762034
250	1.898837326
251	1.89675143
252	1.895696334
253	1.894766112
254	1.893659692
255	1.892200225
256	1.88971415
257	1.888375204
258	1.886872704
259	1.885957811
260	1.884562656
261	1.883302904
262	1.882610751
263	1.881083511
264	1.879313717
265	1.877990415
266	1.877079883
267	1.876006454
268	1.875118717
269	1.873424826
270	1.872230453
271	1.870447337
272	1.869518635
273	1.868245866
274	1.866860435
275	1.865326784
276	1.863451826
277	1.862297319
278	1.860686329
279	1.858758018
280	1.857271952
281	1.855849846
282	1.854193176
283	1.85307
284	1.85202077
285	1.85060605
286	1.849713945
287	1.848486546
288	1.846571429
289	1.845500381
290	1.844518852
291	1.84357002
292	1.842421655
293	1.84145872
294	1.840493682
295	1.839830136
296	1.838858388
297	1.837663023
298	1.836322773
299	1.834240831
300	1.832595725
301	1.831662183
302	1.831210831
303	1.830306551
304	1.829458243
305	1.828566175
306	1.82712394
307	1.826074665
308	1.825181309
309	1.824145404
310	1.823324358
311	1.822513146
312	1.821732976
313	1.820734907
314	1.820152235
315	1.819474647
316	1.818163375
317	1.817590837
318	1.816521469
319	1.815153974
320	1.814233485
321	1.813177318
322	1.81234358
323	1.811293653
324	1.810569083
325	1.810016316
326	1.809236686
327	1.808121922
328	1.807470118
329	1.806659761
330	1.805602524
331	1.803971522
332	1.803341249
333	1.802560831
334	1.80161096
335	1.80035183
336	1.79938193
337	1.798276604
338	1.797137195
339	1.796298943
340	1.795487343
341	1.794560095
342	1.793785136
343	1.792499708
344	1.79137161
345	1.790465734
346	1.789433329
347	1.788649913
348	1.787485439
349	1.78650654
350	1.785745486
351	1.784911264
352	1.784163418
353	1.783619849
354	1.78262604
355	1.781736581
356	1.779991205
357	1.778720676
358	1.778117133
359	1.777070707
360	1.775917214
361	1.775219657
362	1.774266037
363	1.773610274
364	1.772369013
365	1.771533839
366	1.770310939
367	1.769428877
368	1.768949479
369	1.767814461
370	1.766976061
371	1.764882481
372	1.763113775
373	1.762400555
374	1.761555675
375	1.760854156
376	1.760351349
377	1.759478061
378	1.758369911
379	1.757851781
380	1.757347139
381	1.756561538
382	1.755895396
383	1.7549627
384	1.754194851
385	1.753108393
386	1.751813111
387	1.750966194
388	1.750151287
389	1.748592822
390	1.747915848
391	1.747436662
392	1.746782328
393	1.745773198
394	1.744755527
395	1.743841089
396	1.743104436
397	1.742133309
398	1.741341873
399	1.740829678
400	1.74013275
401	1.739280783
402	1.738387452
403	1.737441911
404	1.736521966
405	1.73588744
406	1.734627875
407	1.733782605
408	1.73319164
409	1.732423261
410	1.731593649
411	1.731100071
412	1.730348889
413	1.72949121
414	1.728787562
415	1.728082563
416	1.727606021
417	1.727027635
418	1.726430732
419	1.725641914
420	1.724959514
421	1.724309629
422	1.723680325
423	1.723299462
424	1.722465968
425	1.721980659
426	1.721411362
427	1.720525572
428	1.719495285
429	1.718758421
430	1.718147071
431	1.717422063
432	1.716490369
433	1.715438955
434	1.714484697
435	1.713624536
436	1.712346315
437	1.711066627
438	1.710555297
439	1.709835343
440	1.7093506
441	1.708842358
442	1.70789364
443	1.707249503
444	1.706500011
445	1.705838982
446	1.705272858
447	1.704695975
448	1.703390925
449	1.702454451
450	1.701643133
451	1.701115164
452	1.700634323
453	1.700055042
454	1.69944361
455	1.69878336
456	1.698243759
457	1.697684318
458	1.697095568
459	1.696838323
460	1.695967229
461	1.695489594
462	1.694993177
463	1.694462672
464	1.693858111
465	1.693177163
466	1.692424179
467	1.691661742
468	1.690898051
469	1.690149414
470	1.689473719
471	1.688632245
472	1.687251468
473	1.686887005
474	1.686169854
475	1.685175095
476	1.684746045
477	1.683960705
478	1.683283529
479	1.682807585
480	1.682240269
481	1.68170419
482	1.681100287
483	1.680088208
484	1.679414635
485	1.678578572
486	1.677976737
487	1.677466023
488	1.676467816
489	1.675617171
490	1.67504032
491	1.674291832
492	1.673269809
493	1.672857733
494	1.672309317
495	1.672058791
496	1.671650334
497	1.671108045
498	1.670404586
499	1.669388683
500	1.668894101
501	1.668272348
502	1.667776472
503	1.667249634
504	1.666820312
505	1.666159992
506	1.665334194
507	1.664898219
508	1.664056098
509	1.663357615
510	1.662931122
511	1.662109782
512	1.661502376
513	1.660896898
514	1.660100041
515	1.659587193
516	1.658971183
517	1.658255732
518	1.657776995
519	1.65719233
520	1.656592126
521	1.655813199
522	1.655297838
523	1.654844715
524	1.654481946
525	1.654006525
526	1.653415381
527	1.652824695
528	1.652203252
529	1.65148911
530	1.65098104
531	1.650463539
532	1.649717093
533	1.648596681
534	1.648057143
535	1.647372199
536	1.646368808
537	1.645327055
538	1.644473718
539	1.644204637
540	1.643006708
541	1.642655335
542	1.642297443
543	1.64183086
544	1.641258492
545	1.640817419
546	1.640158825
547	1.639529997
548	1.638653468
549	1.637803001
550	1.637053718
551	1.636362757
552	1.635995632
553	1.635310658
554	1.634649031
555	1.634263231
556	1.633644655
557	1.632846406
558	1.632326291
559	1.631537438
560	1.630840694
561	1.630036812
562	1.629566566
563	1.629060186
564	1.628338124
565	1.627829273
566	1.627422551
567	1.626880445
568	1.626466858
569	1.625903549
570	1.625421803
571	1.624596699
572	1.623986381
573	1.623124161
574	1.622671643
575	1.621970903
576	1.621579971
577	1.620541558
578	1.619909524
579	1.619397767
580	1.619082842
581	1.618495165
582	1.618047596
583	1.616945192
584	1.616138015
585	1.615776565
586	1.615171756
587	1.614606001
588	1.613927112
589	1.613318358
590	1.61263774
591	1.612170872
592	1.611698082
593	1.611179039
594	1.610772028
595	1.610236635
596	1.609557712
597	1.608919571
598	1.608336714
599	1.607678386
600	1.606903537
601	1.606450471
602	1.605909693
603	1.605425164
604	1.604887031
605	1.604445739
606	1.604022563
607	1.603716906
608	1.602368493
609	1.601607761
610	1.601050946
611	1.600548778
612	1.600382885
613	1.599810976
614	1.599104791
615	1.598596323
616	1.598199237
617	1.597714983
618	1.596805302
619	1.596308161
620	1.595858058
621	1.595236879
622	1.594633103
623	1.592892698
624	1.592385075
625	1.591675317
626	1.591171849
627	1.590496197
628	1.5900682
629	1.589453772
630	1.589071045
631	1.588594525
632	1.587824976
633	1.587266049
634	1.586772411
635	1.586328382
636	1.585872324
637	1.585546629
638	1.584756792
639	1.584487354
640	1.583970794
641	1.583407233
642	1.582792989
643	1.582326285
644	1.581857605
645	1.58101262
646	1.580640307
647	1.580281178
648	1.579621603
649	1.579110355
650	1.578771846
651	1.578321578
652	1.577895469
653	1.577450457
654	1.576846793
655	1.576217055
656	1.57591293
657	1.575185803
658	1.574387676
659	1.574023577
660	1.573452954
661	1.572790453
662	1.57238631
663	1.571466969
664	1.570723432
665	1.570396085
666	1.569911133
667	1.569217365
668	1.568699185
669	1.568247111
670	1.567452622
671	1.567126743
672	1.566677366
673	1.566134441
674	1.565646788
675	1.565077094
676	1.564709757
677	1.564113852
678	1.563529498
679	1.56320538
680	1.562519289
681	1.561929199
682	1.561514016
683	1.561284357
684	1.560843992
685	1.560307974
686	1.559802784
687	1.559310484
688	1.558812499
689	1.558552205
690	1.558158742
691	1.557397258
692	1.556918248
693	1.556401339
694	1.555767666
695	1.555528522
696	1.554924622
697	1.554326882
698	1.553728775
699	1.553124565
700	1.55264268
701	1.552221611
702	1.551750447
703	1.551277579
704	1.550582453
705	1.549978842
706	1.549288418
707	1.548914345
708	1.548270516
709	1.54792296
710	1.547437173
711	1.54705805
712	1.546783906
713	1.54617646
714	1.545402869
715	1.545030535
716	1.544733729
717	1.544345876
718	1.543897199
719	1.542462262
720	1.542063831
721	1.541522509
722	1.541032056
723	1.540588419
724	1.540088237
725	1.539638814
726	1.539219015
727	1.538497569
728	1.538256823
729	1.537788915
730	1.537277146
731	1.536818093
732	1.536155921
733	1.53567075
734	1.535135461
735	1.534568927
736	1.534037025
737	1.533696302
738	1.533286492
739	1.532862737
740	1.532418292
741	1.531873825
742	1.531564649
743	1.531069844
744	1.530332305
745	1.529758452
746	1.529187223
747	1.528827816
748	1.528139777
749	1.527684271
750	1.527358336
751	1.526692415
752	1.526177615
753	1.525669633
754	1.525409226
755	1.525007867
756	1.524254063
757	1.523890599
758	1.523304447
759	1.522940154
760	1.522745693
761	1.522333184
762	1.522015447
763	1.521482668
764	1.520860953
765	1.520260818
766	1.519864664
767	1.519189407
768	1.518648939
769	1.518189837
770	1.517811334
771	1.517401987
772	1.517020354
773	1.516583438
774	1.516199254
775	1.515816522
776	1.515523083
777	1.515097331
778	1.514739912
779	1.514395398
780	1.513942237
781	1.513348154
782	1.512673338
783	1.512119696
784	1.511611503
785	1.511272096
786	1.510616281
787	1.510274372
788	1.50992485
789	1.509445252
790	1.509051602
791	1.508487456
792	1.508058511
793	1.507769419
794	1.507270934
795	1.506620531
796	1.506124952
797	1.505566513
798	1.505160071
799	1.504761765
800	1.504396622
801	1.503790191
802	1.503401485
803	1.502607798
804	1.502148936
805	1.501790952
806	1.501368237
807	1.501060156
808	1.500774315
809	1.500365012
810	1.500063655
811	1.499834963
812	1.499443516
813	1.499057607
814	1.498634774
815	1.498307305
816	1.497829791
817	1.497295405
818	1.496968261
819	1.496577444
820	1.495990074
821	1.495597564
822	1.495146929
823	1.494734798
824	1.494279338
825	1.493894661
826	1.492949401
827	1.492177125
828	1.491711385
829	1.491406921
830	1.490893067
831	1.490506401
832	1.490024595
833	1.489505575
834	1.48905406
835	1.488616051
836	1.488155882
837	1.487773978
838	1.487409446
839	1.487249287
840	1.486949241
841	1.486632968
842	1.485986071
843	1.485645307
844	1.485289222
845	1.484883641
846	1.484427142
847	1.483966104
848	1.483437879
849	1.483182995
850	1.482786742
851	1.482464456
852	1.482138033
853	1.481621874
854	1.481375019
855	1.481026915
856	1.480683706
857	1.480399738
858	1.480091489
859	1.479819341
860	1.479457399
861	1.478967314
862	1.478530923
863	1.478150135
864	1.477796593
865	1.477337484
866	1.477030662
867	1.47660201
868	1.476203295
869	1.475622039
870	1.475325193
871	1.475000029
872	1.474588197
873	1.474285826
874	1.473807698
875	1.473272803
876	1.47294669
877	1.472346268
878	1.471835487
879	1.471551255
880	1.471119723
881	1.470659822
882	1.470004075
883	1.469616609
884	1.469439034
885	1.468989532
886	1.468460759
887	1.46814583
888	1.467654595
889	1.467271318
890	1.466860137
891	1.466394789
892	1.465994872
893	1.465536276
894	1.465203171
895	1.464666373
896	1.464370864
897	1.463908666
898	1.463377737
899	1.463081809
900	1.462464216
901	1.461601402
902	1.461245709
903	1.460723335
904	1.460237905
905	1.459923559
906	1.459697587
907	1.459384801
908	1.459124049
909	1.458885862
910	1.4583223
911	1.457596291
912	1.457154015
913	1.456696411
914	1.456326633
915	1.455691546
916	1.455143542
917	1.454696979
918	1.45433288
919	1.453760985
920	1.453284755
921	1.453007498
922	1.452746229
923	1.452324451
924	1.451883528
925	1.451523031
926	1.451085044
927	1.450714882
928	1.450457381
929	1.450087085
930	1.4496661
931	1.449435251
932	1.449093182
933	1.448829702
934	1.448493376
935	1.448158511
936	1.447864727
937	1.447575493
938	1.447257159
939	1.446917228
940	1.446525898
941	1.446278362
942	1.445796428
943	1.445417378
944	1.445045223
945	1.444798244
946	1.44436558
947	1.44399904
948	1.443728291
949	1.443458603
950	1.443123542
951	1.442626626
